Walor,Kurs (PLN),Zmiana (%),Otwarcie,Min,Max,Obrót (szt.),Obrót (PLN),"Czas
aktualizacji"
11 bit studios SA,262,4.38,252,251.5,262,8914,2299176,2019-01-04
4Fun Media SA,12.4,-0.4,12.6,11.95,12.6,757,9269,2019-01-04
AB SA,16,0,15.9,15.9,16.1,3987,63964,2019-01-04
Abadon Real Estate SA,4.1,0,0,0,0,0,0,2019-01-03
ABC Data SA,1.27,0,1.26,1.26,1.27,364580,459469,2019-01-04
ABM Solid SA w upadłości układowej,3.58,0,0,0,0,0,0,2019-01-03
AC SA,44,0.69,44.7,44,44.7,122,5403,2019-01-04
Action SA w restrukturyzacji,2.88,0,2.8,2.8,2.88,1345,3873,2019-01-04
Adiuvo Investments SA,8.28,-2.36,8.5,7.94,8.5,2761,22258,2019-01-04
Agora SA,10,0.4,9.96,9.96,10.25,2365,23681,2019-01-04
Agroton Plc,3.99,2.31,3.72,3.72,4.09,955,3692,2019-01-04
Ailleron SA,10.75,0.47,10.8,10.65,10.9,3508,37876,2019-01-04
Airway Medix SA,0.67,0,0.66,0.66,0.67,12100,8004,2019-01-04
Alchemia SA,4.55,-2.57,4.55,4.55,4.55,100,455,2019-01-04
Alior Bank SA,54.75,2.53,53.9,53.9,55,127074,6949338,2019-01-04
Alta SA,1.8,-0.55,1.8,1.8,1.8,200,360,2019-01-04
Altus TFI SA,2.19,1.39,2.16,2.15,2.23,22737,49827,2019-01-04
Alumetal SA,40,-2.32,41.95,40,41.95,9946,401443,2019-01-04
Ambra SA,12.35,0,12.9,12.35,12.9,1586,19617,2019-01-04
Amica SA,111.4,-1.07,112,111.4,114.4,1743,195805,2019-01-04
AmRest Holdings SE,39.75,0.89,40,39.45,40.5,34782,1386089,2019-01-04
Apator SA,22.8,-0.87,24.3,22.7,24.3,8641,197304,2019-01-04
Aplisens SA,10,-5.66,10.3,9.8,10.6,3967,39722,2019-01-04
APS Energia SA,2.23,0,0,0,0,0,0,2019-01-03
Archicom SA,11.4,1.33,11.4,11.4,11.4,7,80,2019-01-04
Arctic Paper SA,3.18,0.63,3.17,3.15,3.2,13672,43332,2019-01-04
Arcus SA,1.14,5.56,1.14,1.14,1.14,154,176,2019-01-04
Arteria SA,4.76,4.85,4.54,4.54,4.94,2210,10237,2019-01-04
Artifex Mundi SA,4.25,3.16,4.11,4.11,4.25,2186,9136,2019-01-04
ASBISc Enterprises PLC,2.35,-2.49,2.42,2.34,2.44,247301,585960,2019-01-04
ASM Group SA,3.44,0,0,0,0,0,0,2019-01-03
Asseco BS SA,28.4,0.71,28.5,28.4,28.5,11,313,2019-01-04
Asseco Poland SA,46.76,0.65,46.4,46.06,46.98,29116,1359625,2019-01-04
Asseco SEE SA,11.95,1.27,11.8,11.8,11.95,805,9578,2019-01-04
Astarta Holding NV,23.4,0,23.4,23.2,23.4,120,2806,2019-01-04
Atal SA,27.5,0,27.6,27,27.6,12734,345315,2019-01-04
Atende SA,3.76,-2.59,3.86,3.76,3.86,762,2899,2019-01-04
Atlanta Poland SA,4.89,-0.2,4.85,4.73,4.95,8633,41105,2019-01-04
Atlantis SE,0.49,0,0,0,0,0,0,2019-01-03
Atlas Estates Ltd.,1.1,6.8,1.03,1.03,1.1,17010,18043,2019-01-04
ATM Grupa SA,4.66,-1.48,4.73,4.6,4.73,2907,13376,2019-01-04
ATM SA,8.4,0,8.42,8.4,8.42,48,404,2019-01-04
Atrem SA,1.41,6.02,1.39,1.39,1.41,123,171,2019-01-04
AUGA Group AB,1.74,0,0,0,0,0,0,2019-01-03
Auto Partner SA,3.79,0.8,3.76,3.74,3.88,34540,130652,2019-01-04
Awbud SA,1.05,0,1.06,1.05,1.06,6677,7051,2019-01-04
Baltic Bridge SA,0.88,0,0,0,0,0,0,2019-01-03
Baltona SA,9.7,4.53,9.28,9.1,10,2504,23897,2019-01-04
Banco Santander SA,17.8,3.19,17.48,17.48,17.84,1280,22768,2019-01-04
Bank Handlowy SA,68,-1.73,69.3,67.8,69.3,60213,4102480,2019-01-04
Bank Millennium SA,8.8,1.03,8.72,8.72,8.85,745792,6567097,2019-01-04
Bank Pekao SA,111.2,2.11,109.25,109.1,111.5,631318,69896744,2019-01-04
BBI Development SA,0.62,5.08,0.59,0.59,0.64,171990,104730,2019-01-04
Benefit Systems SA,790,-0.75,782,782,796,809,639884,2019-01-04
Berling SA,4.3,2.38,4.3,4.3,4.3,1,4,2019-01-04
Best SA,27,0,0,0,0,0,0,2019-01-03
Betacom SA,14.1,0,14.1,13.9,14.1,101,1404,2019-01-04
BGŻ BNP Paribas SA,50,0,50,50,50,1,50,2019-01-04
Biomed Lublin SA,1.05,-1.87,1.02,1.02,1.05,5301,5407,2019-01-04
Bioton SA,4.97,-2.93,4.94,4.91,5,36971,182959,2019-01-04
Biuro Inwestycji Kapitałowych SA,14.45,5.09,13.75,13.35,14.45,1766,24656,2019-01-04
Boryszew SA,4.69,0,4.7,4.65,4.73,59727,279763,2019-01-04
Bowim SA,2.69,-0.74,2.63,2.63,2.69,1228,3299,2019-01-04
BOŚ SA,7.5,1.35,7.45,7.32,7.5,4281,31745,2019-01-04
Braster SA,2.24,-5.08,2.36,2.21,2.53,769170,1841001,2019-01-04
